rank,title,severity,surface,effort,effort_days,pxl_score,pxl_max,verified,impact,summary,problem,recommended_change,evidence,analysts_agreeing,opportunity_low,opportunity_high,opportunity_basis,sample_per_variant,test_days,detail_page
1,Multiple competing CTAs,HIGH,Homepage,Medium,2-5 days,5,10,no,conversion,"The hero has multiple CTAs of equal weight, diluting focus and reducing clicks.","The homepage hero presents multiple competing CTAs (Shop Men, Shop Women, Shop All) without a single clear primary action, diluting user focus and reducing click-through to a specific product category.","h1: Wildly Comfortable. Super Natural.; cta: Shop Best Sellers; notes: Single primary CTA directing to a curated collection, reducing choice overload.","H1: 'Wildly Comfortable. Super Natural.' CTAs: 'Shop All', 'Shop Womens', 'Shop Mens', 'SHOP MEN', 'SHOP WOMEN'",Funnel-Path & Commerce Clarity,35381,176904,"2,160,000 annual visits x 2.10% conversion x 1.0-5.0% relative lift x $78 order value",299882,100,finding_1_multiple_competing_ctas.html
2,Shipping delay notice,HIGH,Homepage,Medium,2-5 days,5,10,no,conversion,A prominent shipping delay notice may deter purchases due to perceived risk.,"A prominent notice about shipping delays (up to 30 days) is placed in the top bar, potentially deterring immediate purchases due to perceived fulfillment risk.",h1: Wildly Comfortable. Super Natural.; cta: Shop All; notes: Move delay notice to checkout or provide a more reassuring message with expedited options.,"Body sample: 'Due to increased demand, orders may take up to 30 days to ship.' | Body sample: 'Due to increased demand, orders may take up to 30 days to ship.' displayed prominently at top of homepage.","Funnel-Path & Commerce Clarity, Trust & Objection",35381,176904,"2,160,000 annual visits x 2.10% conversion x 1.0-5.0% relative lift x $78 order value",299882,100,finding_2_shipping_delay_notice.html
3,Vague hero copy,HIGH,Homepage,Low,0.5-2 days,5,10,no,conversion,The hero headline is abstract and doesn't communicate the product category or benefit.,"The hero headline is abstract and doesn't communicate the product category or key benefit, failing to answer the visitor's intent to find comfortable, sustainable shoes.","h1: Shoes That Feel Like Nothing Else; cta: Shop Men's Shoes / Shop Women's Shoes; notes: Add a subheadline: 'Made from natural materials, designed for all-day comfort.' This directly addresses the visitor's intent to find comfortable, sustainable footwear.","H1: 'Wildly Comfortable. Super Natural.' with CTAs 'Shop Men' and 'Shop Women' but no subheadline or explicit mention of shoes, comfort, or sustainability.",Message Clarity,35381,176904,"2,160,000 annual visits x 2.10% conversion x 1.0-5.0% relative lift x $78 order value",299882,100,finding_3_vague_hero_copy.html
4,Free shipping threshold hidden,HIGH,Homepage,Medium,2-5 days,5,10,no,conversion,"Free shipping threshold is buried in body text, causing surprise at checkout.","The free shipping threshold is only mentioned in the body text, not prominently displayed near pricing or CTAs, causing potential surprise at checkout.",h1: Wildly Comfortable. Super Natural. Free Shipping Over $100.; cta: Shop All; notes: Add free shipping threshold to hero or near CTAs to set expectations early.,"Body sample: 'Free ground shipping on orders over $100' appears in the page body, but the H1 and CTAs do not mention this threshold.",Pricing Transparency,35381,176904,"2,160,000 annual visits x 2.10% conversion x 1.0-5.0% relative lift x $78 order value",299882,100,finding_4_free_shipping_threshold_hidden.html
5,Mega-menu choice overload,HIGH,Navigation,Low,0.5-2 days,5,10,no,conversion,Mega-menu with 20+ items causes choice overload and decision paralysis.,"The mega-menu presents 20+ nav items with multiple subcategories, causing choice overload and decision paralysis for users.","h1: Wildly Comfortable. Super Natural.; cta: Shop All; notes: Simplify mega-menu to 5-7 top-level categories with clear subcategories, remove duplicate links, and use descriptive labels to reduce cognitive load.","nav_items list includes 20 items: 'New Arrivals', 'Shop All', 'Bestsellers', 'LEATHER ALTERNATIVES', 'Men's Shoes', 'Sneakers', 'Slip Ons', 'Sandals', 'Active', 'All-Weather', 'Runner NZ', 'Cruiser', 'Tree Runner NZ', 'Socks', 'Men's Apparel', 'Women's Shoes', 'Trainers', 'Flats', 'Canvas Cruiser', 'Women's Apparel'.",Nav & Distraction,35381,176904,"2,160,000 annual visits x 2.10% conversion x 1.0-5.0% relative lift x $78 order value",299882,100,finding_5_mega_menu_choice_overload.html
6,Missing price and CTA,URGENT,Product Page,Medium,2-5 days,4,10,no,conversion,"The product page lacks a visible price and add-to-cart button, preventing purchases.","The product page lacks a visible price and a clear add-to-cart CTA, preventing the visitor from completing a purchase.",h1: Anytime Ankle Sock; cta: Add to Cart - $14; notes: Ensure the price is visible and the primary CTA is 'Add to Cart' to facilitate purchase.,H1: 'Anytime Ankle Sock' but no price or 'Add to Cart' button in the extracted data; CTAs only include 'Learn More' and 'Sign Up'.,Message Clarity,70762,283046,"2,160,000 annual visits x 2.10% conversion x 2.0-8.0% relative lift x $78 order value",118817,40,finding_6_missing_price_and_cta.html
7,No responsive viewport declared,URGENT,Mobile,Medium,2-5 days,4,10,yes,conversion,"Without a viewport meta tag, mobile users see a zoomed-out desktop layout, hurting usability and conversions.","Without a viewport meta tag mobile browsers render the desktop layout scaled down, making every tap target too small.","notes: Add <meta name=""viewport"" content=""width=device-width, initial-scale=1"">","Measured on the mobile render: no <meta name=""viewport""> present.",Technical & Accessibility,70762,283046,"2,160,000 annual visits x 2.10% conversion x 2.0-8.0% relative lift x $78 order value",118817,40,finding_7_no_responsive_viewport.html
8,Missing size selector on PDP,HIGH,Product Page,Medium,2-5 days,4,10,no,conversion|refunds,"Product page lacks a size selector, increasing friction and potential returns.","Product page lacks a size selection field, forcing users to guess or leave, increasing friction and potential returns.","h1: Anytime Ankle Sock; cta: Add to Cart; notes: Add a size selector (e.g., S/M/L) and an 'Add to Cart' button to reduce friction and prevent size-related returns.",Product page for 'Anytime Ankle Sock' shows no size input in the forms inventory; only 'Learn More' CTA visible.,Form / Friction,35381,176904,"2,160,000 annual visits x 2.10% conversion x 1.0-5.0% relative lift x $78 order value",299882,100,finding_8_missing_size_selector.html
9,Missing review count,HIGH,Product Page,Medium,2-5 days,4,10,no,conversion,"Product page lacks visible review count or rating, missing social proof.","Product page shows a reviews section but lacks a visible review count or rating summary, failing to provide social proof at the point of purchase decision.","h1: Anytime Ankle Sock; cta: Add to Cart; notes: Add a review summary line under the product title: '4.7/5 from 1,200+ reviews' to leverage social proof.","H2 'Reviews for Anytime Ankle Sock' present, but no review count or star rating visible in the provided inventory.",Trust & Objection,35381,176904,"2,160,000 annual visits x 2.10% conversion x 1.0-5.0% relative lift x $78 order value",299882,100,finding_9_missing_review_count.html
10,Email-only signup lacks incentive,HIGH,Forms & Signup,Medium,2-5 days,3,10,no,conversion,"The email signup offers no explicit benefit, reducing opt-in rates.","The single email input with a generic 'Sign Up' CTA provides no explicit value exchange, likely reducing opt-in rates.",h1: Wildly Comfortable. Super Natural.; cta: Get 10% Off Your First Order; notes: Add explicit incentive near the email field to increase signups.,"Form on homepage has 1 input, no labels, submit button 'Sign Up'.",Form / Friction,35381,176904,"2,160,000 annual visits x 2.10% conversion x 1.0-5.0% relative lift x $78 order value",299882,100,finding_10_email_signup_lacks_incentive.html
